# ---------------------------------------------------------
# Distances associées aux critères: Euclidienne, Samal, WuPalmer
# Attributs: URI
# Seuil d'indecision: 0.15
# Seuils des critères: [35.0, 100.0], [0.6], [0.7]
# Type de la géométrie: POINT
# ---------------------------------------------------------
ID_REF;NOM_REF;NUM_CANDIDAT;ID_CANDIDAT;NOM_CANDIDAT;URI_REF;URI_CANDIDAT;Euclidienne;Samal;WuPalmer;Proba pign premier;Proba pign second;Decision;GEOM_REF;GEOM_CANDIDAT
946143;La Chapelle-en-Vercors;11;SURFACTI0000000228352321;la Maison de l'Aventure;"http";"http://purl.org/choucas.ign.fr/oor#hébergement_accessible";233.86955;0.84314;2.0;0.0;0.0;indécis;POINT (890466.09808275 6432792.51758433);POINT (890559.1 6433007.1)
946143;La Chapelle-en-Vercors;12;SURFACTI0000000006691497;Mur des Fusillés;"http";"http://purl.org/choucas.ign.fr/oor#monument";170.81865;0.91176;2.0;0.0;0.0;indécis;POINT (890466.09808275 6432792.51758433);POINT (890535.2 6432636.3)
946143;La Chapelle-en-Vercors;13;SURFACTI0000000006690516;Chapelle Saint-Antoine;"http";"http://purl.org/choucas.ign.fr/oor#lieu_de_culte";224.47281;0.68627;2.0;0.0;0.0;indécis;POINT (890466.09808275 6432792.51758433);POINT (890578.562075527 6432598.25)
946143;La Chapelle-en-Vercors;14;SURFACTI0000000006691496;les Bruyères;"http";"http://purl.org/choucas.ign.fr/oor#camping";144.53996;0.88235;2.0;0.0;0.0;indécis;POINT (890466.09808275 6432792.51758433);POINT (890494.696890542 6432934.2)
946143;La Chapelle-en-Vercors;15;SURFACTI0000000006691829;Mairie de la Chapelle-en-Vercors;"http";"http://purl.org/choucas.ign.fr/oor#mairie";20.33095;0.33333;2.0;0.0;0.0;indécis;POINT (890466.09808275 6432792.51758433);POINT (890461.623393395 6432812.35)
946143;La Chapelle-en-Vercors;16;SURFACTI0000000006691828;Poste de la Chapelle-en-Vercors;"http";"http://purl.org/choucas.ign.fr/oor#bureau_de_poste";152.15636;0.33333;2.0;0.0;0.0;indécis;POINT (890466.09808275 6432792.51758433);POINT (890529.5 6432654.2)
946143;La Chapelle-en-Vercors;17;SURFACTI0000000123327201;Trésorerie Principale de la Chapelle-en-Vercors;"http";"http://purl.org/choucas.ign.fr/oor#bâtiment_administratif";196.42587;0.5;2.0;0.0;0.0;indécis;POINT (890466.09808275 6432792.51758433);POINT (890398.2 6432608.2)
946143;La Chapelle-en-Vercors;18;SURFACTI0000000230112569;Cour des Fusillés;"http";"http";179.45161;0.91176;2.0;0.0;0.0;indécis;POINT (890466.09808275 6432792.51758433);POINT (890545.117117988 6432631.4)
946143;La Chapelle-en-Vercors;19;SURFACTI0000000327737432;Place des Myosotis;"http";"http";228.73093;0.91176;2.0;0.0;0.0;indécis;POINT (890466.09808275 6432792.51758433);POINT (890619.7 6432962)
946143;La Chapelle-en-Vercors;20;SURFACTI0000000327737433;Place de la Salle des Fêtes;"http";"http";64.54797;0.90588;2.0;0.0;0.0;indécis;POINT (890466.09808275 6432792.51758433);POINT (890488.1 6432853.2)
946143;La Chapelle-en-Vercors;21;SURFACTI0000000327737435;Place du Cimetière;"http";"http";218.32381;0.88235;2.0;0.0;0.0;indécis;POINT (890466.09808275 6432792.51758433);POINT (890384.7 6432995.1)
946143;La Chapelle-en-Vercors;22;SURFACTI0000000327737438;Square du Souvenir Français;"http";"http";170.1279;0.91176;2.0;0.0;0.0;indécis;POINT (890466.09808275 6432792.51758433);POINT (890554.4 6432647.1)
946143;La Chapelle-en-Vercors;23;SURFACTI0000000327737434;Place des Jeux de Boules;"http";"http";56.40992;0.92941;2.0;0.0;0.0;indécis;POINT (890466.09808275 6432792.51758433);POINT (890510.152094872 6432827.75)
946143;La Chapelle-en-Vercors;24;SURFACTI0000000327737436;Place de la Maison Pour Tous;"http";"http";134.46178;0.92941;2.0;0.0;0.0;indécis;POINT (890466.09808275 6432792.51758433);POINT (890333.930480769 6432817.25)
946143;La Chapelle-en-Vercors;25;SURFACTI0000000327737437;Place de la Fontaine Fleurie;"http";"http";104.85555;0.91176;2.0;0.0;0.0;indécis;POINT (890466.09808275 6432792.51758433);POINT (890400.581778169 6432710.65)
946143;La Chapelle-en-Vercors;26;SURFACTI0000000006691827;Centre d'Incendie et de Secours de la Chapelle-en-Vercors;"http";"http://purl.org/choucas.ign.fr/oor#caserne_de_pompiers";259.23343;0.6;2.0;0.0;0.0;indécis;POINT (890466.09808275 6432792.51758433);POINT (890359.9 6433029)
187007;Tête de l'Âne;1;NA;NA;"http://purl.org/choucas.ign.fr/oor#sommet";"";0.0;0.0;0.0;0.0;1.0;false;null;null
187007;Tête de l'Âne;2;PAIOROGR0000000007456469;Tête de l'Âne;"http://purl.org/choucas.ign.fr/oor#sommet";"http://purl.org/choucas.ign.fr/oor#sommet";46.84104;0.0;0.0;1.0;1.0;true;POINT (937734.829802534 6428947.02111159);POINT (937705.2 6428983.3)
158565;Cabane de Châtillon;1;NA;NA;"http://purl.org/choucas.ign.fr/oor#hébergement_isolé";"";0.0;0.0;0.0;0.0;1.0;false;null;null
